date,Open,High,Low,Close,Adj Close,Volume,gme_percentage_change
2020-05-22,4.46,4.49,4.13,4.18,4.18,2379900,0.05741626794258379
2020-05-26,4.34,4.61,4.33,4.42,4.42,3545700,0.061085972850678835
2020-05-27,4.57,4.71,4.36,4.69,4.69,3146600,-0.07675906183368876
2020-05-28,4.75,4.76,4.3,4.33,4.33,2183900,-0.062355658198614425
2020-05-29,4.33,4.42,4.05,4.06,4.06,3973500,0.0172413793103449
2020-06-01,4.12,4.36,4.02,4.13,4.13,2611600,0.012106537530266302
2020-06-02,4.27,4.31,4.06,4.18,4.18,2369400,0.06220095693779921
2020-06-03,4.24,4.52,4.2,4.44,4.44,3037400,0.006756756756756612
2020-06-04,4.44,4.72,4.37,4.47,4.47,3514300,-0.07382550335570472
2020-06-05,4.29,4.41,4.09,4.14,4.14,6274400,0.21014492753623193
2020-06-08,4.28,5.14,4.27,5.01,5.01,10133700,-0.009980039920159646
2020-06-09,5.0,5.0,4.55,4.96,4.96,8073400,0.022177419354838773
2020-06-10,4.78,5.53,4.68,5.07,5.07,10606400,-0.13806706114398426
2020-06-11,4.64,4.9,4.18,4.37,4.37,6236000,0.08009153318077795
2020-06-12,4.6,4.78,4.39,4.72,4.72,4378200,-0.006355932203389696
2020-06-15,4.5,4.77,4.42,4.69,4.69,3909000,-0.010660980810234692
2020-06-16,4.95,4.95,4.51,4.64,4.64,3121300,0.025862068965517265
2020-06-17,4.54,4.83,4.53,4.76,4.76,3593500,0.03991596638655471
2020-06-18,4.67,4.95,4.65,4.95,4.95,3423800,-0.014141414141414198
2020-06-19,4.95,5.08,4.69,4.88,4.88,7366600,-0.0020491803278688088
2020-06-22,4.79,4.95,4.72,4.87,4.87,3178900,-0.008213552361396311
2020-06-23,4.95,4.99,4.8,4.83,4.83,3205400,-0.08695652173913042
2020-06-24,4.83,4.84,4.38,4.41,4.41,2976200,0.011337868480725584
2020-06-25,4.33,4.54,4.3,4.46,4.46,2450800,-0.024663677130044914
2020-06-26,4.48,4.5,4.27,4.35,4.35,3801200,0.006896551724137989
2020-06-29,4.35,4.52,4.3,4.38,4.38,2131200,-0.009132420091324209
2020-06-30,4.33,4.51,4.2,4.34,4.34,3889000,0.023041474654378002
2020-07-01,4.31,4.5,4.31,4.44,4.44,2303700,-0.03378378378378386
2020-07-02,4.49,4.51,4.29,4.29,4.29,1887600,-0.011655011655011614
2020-07-06,4.31,4.34,4.19,4.24,4.24,2140900,-0.03537735849056612
2020-07-07,4.2,4.25,4.06,4.09,4.09,2456600,0.0415647921760391
2020-07-08,4.1,4.29,4.03,4.26,4.26,2052800,-0.011737089201877894
2020-07-09,4.27,4.32,4.13,4.21,4.21,1992600,0.03087885985748216
2020-07-10,4.2,4.38,4.18,4.34,4.34,1410800,-0.01843317972350232
2020-07-13,4.35,4.55,4.26,4.26,4.26,4216200,-0.0422535211267605
2020-07-14,4.22,4.31,4.07,4.08,4.08,2261600,0.026960784313725568
2020-07-15,4.13,4.29,4.13,4.19,4.19,1474100,-0.00477326968973758
2020-07-16,4.19,4.2,4.09,4.17,4.17,1330100,-0.05035971223021582
2020-07-17,4.16,4.23,3.94,3.96,3.96,3065900,-0.027777777777777745
2020-07-20,3.95,4.06,3.77,3.85,3.85,3401100,0.04155844155844148
2020-07-21,3.9,4.09,3.88,4.01,4.01,3341000,0.02493765586034926
2020-07-22,4.02,4.12,3.92,4.11,4.11,2523500,0.0
2020-07-23,4.09,4.31,4.06,4.11,4.11,3237200,-0.019464720194647216
2020-07-24,4.06,4.23,4.01,4.03,4.03,2215900,-0.004962779156327658
2020-07-27,4.02,4.12,3.95,4.01,4.01,2472700,-0.01745635910224435
2020-07-28,3.96,4.05,3.92,3.94,3.94,4555400,0.030456852791878087
2020-07-29,3.94,4.18,3.92,4.06,4.06,2879600,0.009852216748768483
2020-07-30,4.0,4.23,3.97,4.1,4.1,2398500,-0.02195121951219509
2020-07-31,4.06,4.16,3.99,4.01,4.01,1879400,0.03491271820448892
2020-08-03,4.03,4.25,4.0,4.15,4.15,2517600,0.06746987951807212
2020-08-04,4.13,4.74,4.13,4.43,4.43,10361400,0.045146726862302526
2020-08-05,4.5,4.76,4.25,4.63,4.63,4925700,-0.04319654427645792
2020-08-06,4.6,4.66,4.38,4.43,4.43,1901200,-0.06094808126410826
2020-08-07,4.39,4.4,4.06,4.16,4.16,3341100,0.040865384615384595
2020-08-10,4.2,4.57,4.18,4.33,4.33,4561800,0.004618937644341702
2020-08-11,4.43,4.57,4.34,4.35,4.35,3138800,0.03908045977011493
2020-08-12,4.4,4.63,4.36,4.52,4.52,3057600,0.02654867256637171
2020-08-13,4.52,4.71,4.5,4.64,4.64,2128300,0.02370689655172421
2020-08-14,4.6,4.83,4.55,4.75,4.75,3474400,-0.025263157894736866
2020-08-17,4.78,4.78,4.56,4.63,4.63,2371000,0.03887688984881203
2020-08-18,4.61,4.87,4.43,4.81,4.81,3834400,-0.018711018711018684
2020-08-19,4.8,4.84,4.64,4.72,4.72,2612600,-0.023305084745762594
2020-08-20,4.62,4.68,4.51,4.61,4.61,2441200,0.09110629067245117
2020-08-21,4.6,5.6,4.6,5.03,5.03,10642600,-0.03180914512922468
2020-08-24,5.1,5.13,4.56,4.87,4.87,4585400,0.0225872689938399
2020-08-25,4.88,5.25,4.88,4.98,4.98,2998700,0.02610441767068271
2020-08-26,4.97,5.22,4.92,5.11,5.11,2779700,0.02739726027397254
2020-08-27,5.11,5.38,5.02,5.25,5.25,3384400,0.026666666666666606
2020-08-28,5.3,5.57,5.22,5.39,5.39,4236900,0.23933209647495363
2020-08-31,5.77,7.15,5.69,6.68,6.68,37976000,0.14520958083832344
2020-09-01,7.3,7.82,6.77,7.65,7.65,23211000,0.007843137254901909
2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100,0.014267185473411196
2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500,-0.021739130434782598
2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000,0.006535947712418277
2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600,-0.045454545454545525
2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100,-0.15238095238095228
2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300,-0.02247191011235964
2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200,0.1346469622331692
2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000,0.026049204052098367
2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500,0.2242595204513399
2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300,0.059907834101382444
2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700,0.02934782608695667
2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500,-0.07602956705385434
2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800,0.2068571428571429
2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500,-0.049242424242424365
2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200,-0.08964143426294807
2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800,0.09628008752735218
2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200,0.006986027944111805
2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300,0.0257680872150644
2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600,-0.01449275362318844
2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000,-0.042156862745098014
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100,-0.03889457523029673
2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500,0.007454739084132085
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000,-0.034883720930232565
2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400,0.025191675794085284
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600,0.44123931623931634
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600,-0.10896960711638255
2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800,-0.018302828618968293
2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700,0.006779661016949158
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700,0.031144781144781076
2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800,0.12897959183673469
2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800,-0.037599421547360776
2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600,0.045078888054094636
2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100,-0.0035945363048167298
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000,0.017316017316017333
2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900,0.05744680851063833
2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200,0.006036217303822928
2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300,-0.10333333333333337
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300,-0.05650557620817843
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000,-0.06855791962174936
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600,-0.007614213197969531
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800,-0.1074168797953964
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900,0.02674307545367711
2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000,0.07627906976744189
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500,-0.05704407951598964
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900,0.049495875343721275
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200,0.035807860262008745
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200,-0.03119730185497464
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900,-0.033942558746736344
2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000,0.05855855855855859
2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600,-0.05276595744680845
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300,-0.010781671159029739
2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900,0.0953678474114442
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800,-0.03565505804311772
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200,-0.005159071367153955
2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200,0.07692307692307697
2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600,0.020064205457463884
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400,0.09362706530291105
2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100,-0.01654676258992809
2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200,0.07900512070226774
2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100,0.09016949152542361
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200,0.029850684079601956
2020-11-30,18.17,19.42,16.559998999999998,16.559998999999998,16.559998999999998,31983500,-0.04589366219164609
2020-12-01,17.110001,17.4,15.76,15.8,15.8,12666000,0.04936708860759478
2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400,-0.027744209891435244
2020-12-03,16.48,16.639999,15.87,16.120001000000002,16.120001000000002,6295000,0.04838703173777697
2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700,-0.032544378698224685
2020-12-07,17.0,17.5,16.219998999999998,16.35,16.35,7386300,0.036085688073394545
2020-12-08,16.370001000000002,17.209999,15.93,16.940001000000002,16.940001000000002,16120200,-0.1936246048627743
2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900,0.03367496339677885
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900,-0.05736543909348433
2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900,-0.04432757325319307
2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100,0.0888364779874213
