date,Open,High,Low,Close,Adj Close,Volume,gme_percentage_change,daily_average_title_positive_sentiment,daily_average_title_negative_sentiment,daily_average_title_neutral_sentiment,daily_average_body_positive_sentiment,daily_average_body_negative_sentiment,daily_average_body_neutral_sentiment,volume_of_posts
2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600,-0.01449275362318844,0.0,0.21600000000000005,0.784,0.163,0.015,0.8220000000000001,1
2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800,0.6787189562380488,0.08254051796157068,0.08781620718462821,0.824632414369256,0.055070175438596526,0.05222974101921474,0.4616040100250624,1197
2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200,-0.3076923076923077,0.0797291958710338,0.08832687651331733,0.8289496622913187,0.05480916273735191,0.052304256403721335,0.4632942525806042,15694
2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200,-0.6,0.105118778280543,0.07522737556561086,0.8151244343891393,0.042217194570135765,0.02727488687782803,0.2913563348416288,884
2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100,0.02677782222222223,0.11460119840213046,0.09517509986684423,0.7795699067909445,0.02610186418109188,0.01942276964047936,0.1874960053262317,1502
2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500,-0.4210583520805821,0.11295913734392735,0.09028036322360952,0.7899515701853944,0.02998864926220206,0.021253878168747627,0.20339046538024996,2643
2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300,0.19196261682243,0.11125613405146634,0.07341172950329149,0.8117402752842613,0.06089168162776786,0.043509874326750464,0.4042794733692404,1671
2021-02-05,54.040001,95.0,51.09,63.77,63.77,80886300,-0.05911870785635884,0.1072163202463433,0.08629522709776755,0.8007143956889913,0.07438876058506548,0.05987644341801389,0.5012247882986918,2598
2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300,-0.16149998333333335,0.11951567944250872,0.06296167247386761,0.8070662020905925,0.055289198606271794,0.03281533101045297,0.3543797909407668,287
2021-02-09,56.610001,57.0,46.52,50.310001,50.310001,26843100,0.017690319664275114,0.11250675675675677,0.06017567567567567,0.8273175675675676,0.09420270270270274,0.05618918918918922,0.5928581081081082,148
2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000,-0.0019531835556019024,0.08542342342342345,0.062972972972973,0.8516036036036033,0.09229729729729727,0.0543873873873874,0.5921081081081079,222
2021-02-11,50.009998,55.32,48.220001,51.099998,51.099998,12997400,0.025440392385142584,0.09041420118343196,0.03238461538461539,0.8712840236686388,0.09318934911242603,0.041520710059171614,0.6049289940828404,169
2021-02-12,50.75,55.240002,48.049999,52.400002,52.400002,14498000,-0.0551527459865365,0.1110614525139665,0.07358659217877096,0.8153575418994412,0.09766480446927377,0.05402234636871505,0.6472402234636869,179
2021-02-16,52.66,53.5,49.040001,49.509998,49.509998,8175000,-0.0721066278370683,0.14907777777777775,0.0473888888888889,0.8035222222222221,0.1016,0.046055555555555565,0.607811111111111,90
2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800,-0.11427949748105133,0.12969005847953216,0.07178362573099414,0.7985380116959062,0.06545029239766083,0.031093567251461982,0.4180818713450292,171
2021-02-18,48.490002,48.869999,40.650002,40.689999,40.689999,23990600,-0.002457581775806798,0.11942857142857145,0.07096734693877553,0.8096040816326527,0.04378367346938775,0.01840000000000001,0.27252653061224485,245
2021-02-19,41.279999,43.889999,38.5,40.59,40.59,14828200,0.1332840601133283,0.13018155619596536,0.0705158501440922,0.7964265129682999,0.03858501440922192,0.022766570605187324,0.2499135446685879,347
2021-02-22,46.689999,48.509998,42.400002,46.0,46.0,19476000,-0.022391282608695582,0.12079136690647485,0.06917985611510792,0.8100143884892087,0.04903597122302159,0.020028776978417262,0.29064748201438845,139
2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200,1.039359505462319,0.12103358208955226,0.07242537313432834,0.799074626865672,0.03952238805970151,0.01863805970149254,0.2515522388059701,268
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700,0.18558504182297506,0.14087083333333336,0.07200416666666667,0.7871249999999999,0.04154999999999999,0.01802916666666665,0.2529333333333334,240
2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800,-0.06428772930319883,0.12213577981651373,0.057970642201834864,0.8143926605504587,0.025921100917431196,0.01261834862385321,0.17613944954128447,545
2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000,0.1834087317359688,0.12395044247787605,0.06272920353982303,0.8062619469026551,0.0295646017699115,0.015707964601769903,0.2042849557522124,565
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300,-0.01843855451098741,0.1076165413533835,0.05154887218045113,0.8408120300751879,0.06821804511278194,0.030315789473684213,0.4428270676691729,133
2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33640400,0.050770011846336095,0.1250306406685236,0.059378830083565474,0.8128022284122564,0.038339832869080784,0.017587743732590526,0.2616462395543176,359
2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19173700,0.06579164116604927,0.1361544991511036,0.0439320882852292,0.8182173174872657,0.03589983022071308,0.015804753820033962,0.2267317487266552,589
2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32473600,0.04072534005023006,0.12093684210526315,0.07053894736842109,0.8064273684210523,0.051831578947368416,0.024856842105263132,0.35280210526315803,475
2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30660200,0.4120806805546435,0.12055971896955507,0.07643091334894613,0.8006791569086652,0.044676814988290375,0.02194613583138174,0.3127892271662763,427
2021-03-08,154.889999,210.869995,146.100006,194.5,194.5,63424800,0.2694087095115681,0.1146190476190476,0.07792857142857143,0.7915555555555553,0.06521428571428571,0.02912698412698413,0.3897777777777778,126
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800,0.07330905807960453,0.14337288135593226,0.056141242937853136,0.7920197740112997,0.0310819209039548,0.01659887005649717,0.20658192090395489,354
2021-03-10,269.429993,348.5,172.0,265.0,265.0,71361900,-0.018867924528301886,0.14156775300171529,0.05019897084048027,0.8030771869639792,0.02740308747855917,0.012773584905660372,0.1811012006861063,583
2021-03-11,241.639999,281.5,232.600006,260.0,260.0,28186000,0.01730769230769231,0.13134476534296027,0.06703971119133573,0.7943826714801443,0.03459205776173286,0.02080505415162454,0.244259927797834,554
2021-03-12,275.0,295.5,262.269989,264.5,264.5,25760700,-0.1677126691871455,0.13627884615384614,0.07455128205128206,0.7891570512820509,0.04157692307692307,0.01855448717948718,0.2731826923076923,312
2021-03-15,277.519989,283.0,206.0,220.139999,220.139999,24100400,-0.05437449375113345,0.10282978723404254,0.06379787234042553,0.8227659574468088,0.07889361702127662,0.030744680851063824,0.4648404255319147,94
2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35241900,0.007878176566058355,0.12294067796610172,0.0549406779661017,0.8136355932203387,0.04389406779661017,0.020423728813559326,0.2619576271186441,236
2021-03-17,217.839996,231.470001,204.0,209.809998,209.809998,16259300,-0.03841570028516948,0.12619148936170213,0.05640425531914895,0.8088851063829785,0.04689361702127662,0.02505531914893616,0.30251063829787234,235
2021-03-18,214.0,218.880005,195.649994,201.75,201.75,11764900,-0.0073357918215613376,0.14024299065420562,0.0589626168224299,0.79611214953271,0.042392523364485984,0.0203644859813084,0.28306074766355144,214
