index,date,Open,High,Low,Close,Adj Close,Volume,gme_percentage_change,daily_average_title_positive_sentiment,daily_average_title_negative_sentiment,daily_average_title_neutral_sentiment,daily_average_body_positive_sentiment,daily_average_body_negative_sentiment,daily_average_body_neutral_sentiment,volume_of_posts,predicted_percent_change
1,2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800,0.6787189562380488,0.08254051796157068,0.08781620718462821,0.824632414369256,0.055070175438596526,0.05222974101921474,0.4616040100250624,1197,
2,2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200,-0.3076923076923077,0.0797291958710338,0.08832687651331733,0.8289496622913187,0.05480916273735191,0.052304256403721335,0.4632942525806042,15694,
3,2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200,-0.6,0.10511877828054302,0.07522737556561086,0.8151244343891393,0.04221719457013577,0.02727488687782803,0.2913563348416288,884,-0.011218009516596794
4,2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100,0.02677782222222223,0.11460119840213046,0.09517509986684423,0.7795699067909445,0.02610186418109188,0.01942276964047936,0.1874960053262317,1502,-0.011211112141609192
5,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500,-0.4210583520805821,0.11295913734392735,0.09028036322360952,0.7899515701853944,0.02998864926220206,0.021253878168747627,0.20339046538025,2643,-0.011200660839676857
6,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300,0.19196261682243002,0.11125613405146634,0.07341172950329149,0.8117402752842613,0.06089168162776786,0.043509874326750464,0.4042794733692404,1671,-0.01022833026945591
7,2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300,-0.05911870785635884,0.1072163202463433,0.08629522709776755,0.8007143956889913,0.07438876058506548,0.05987644341801389,0.5012247882986918,2598,-0.011035478673875332
8,2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300,-0.16149998333333335,0.11951567944250872,0.06296167247386761,0.8070662020905925,0.055289198606271794,0.03281533101045297,0.3543797909407668,287,0.03338942676782608
9,2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100,0.017690319664275114,0.11250675675675677,0.06017567567567567,0.8273175675675676,0.09420270270270274,0.05618918918918922,0.5928581081081082,148,0.04141697287559509
10,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000,-0.0019531835556019024,0.08542342342342345,0.062972972972973,0.8516036036036033,0.09229729729729727,0.0543873873873874,0.5921081081081079,222,0.04906522482633591
